ФИО,Желаемая должность,Зарплата,Личная информация,Местоположение,Занятость и график,Общий опыт,Последнее место работы,Обязанности,Ключевые навыки,Обо мне,Образование,Языки,Ссылка
Кандидат,DeFi,8 000 $ на руки,"Мужчина, 24 года","Москва , м. Планерная , хочу переехать , готов к командировкам",Не указано,Опыт работы 5 лет 7 месяцев,Разработчик в Alber Blanc,"Разработчик, квант и трейдер на блокчейнах BNB, ETH, ARB, DYDX, Hyperliquid. Занимался разработкой и поддержкой торговой системы для HFT, аналитикой, инфраструктурой и много чем ещё.","Linux, Управление проектами, Английский язык, Python, Аналитические способности, C++, Математический анализ, Обучаемость, Коммуникабельность, ООП, JavaScript, HTML, CSS, Git, C#, PHP, Adobe Photoshop, C/C++, Lua, Rust, Базы данных, Разработка ПО, Русский — Родной, Английский — C1 — Продвинутый","Имеются навыки разработки игр C#, разработки под мобильные приложения. Есть опыт разработки на C и VHDL под микроконтроллеры. 2 года опыта разработки блокчейн проектов. Окончил курсы от mail.ru по криптографии, после менторил и преподавал на том же курсе. Участвовал в Definition Hackathon Проекты: - Разработка блокчейна для контроля и регуляции дронов по гранту компании Robonomics (Rust и Parity Substrate). Разработка front-end (javascript, typescript, leaflet, wasm). - Финансовые сервисы, мониторинг, парсинг, анализ транзакций в сети Ethereum. - Написание и деплой смарт-контрактов для сети Ethereum(hardhat, truffle), использование solidity, работа с compound, AAVE, uniswap, flashloans. Имею опыт работы с flashbots и глубокое понимание MEV. - опыт работы с Web3.0 на python и JavaScript. - обширный R&D опыт в сетях использующих EVM и Substrate. - опыт разработки игр на движке Unity (C#) и Love2d (Lua) Помимо программирования, имеются навыки Photoshop, blender, 3ds max. Есть большое желание развития как разработчик, работы в команде профессионалов для дальнейшего обучения и перенятия знаний.","Московский государственный технический университет им. Н.Э. Баумана, Москва Специальное машиностроение , Автономные информационные и управляющие системы; разработчик криптографических протоколов и децентрализованных систем mail.ru","Русский — Родной, Английский — C1 — Продвинутый",https://hh.ru/resume/9843401c000847c0e70039ed1f76455a4a6956
Кандидат,программист C#,Не указано,"Мужчина, 37 лет","Москва , м. Братиславская , не готов к переезду , готов к командировкам",Не указано,Опыт работы 2 года 2 месяца,"Программист в ФГОБУ ВПО ""Всероссийская государственная налоговая академия Министерства финансов Российской Федерации"" (ВГНА МинФина России)","Анализ требований, внедрение, поддержка систем электронного деканата и дистанционного образования. Участие в разработке портала и поддержка портала, интеграция существующих решений. Проектирование и разработка веб- и нативных приложений для внутреннего использования. Разработка технической документации, руководство пользователя.","Русский — Родной, Английский — A1 — Начальный","Уверенное владение: С#, C, С++, LINQ, WPF, MVC, ASP.Net MVC3/4, ООП, XML, многопоточноя разработка. Опыт использования: QT, WIN APl, Transact-SQL, MySQL, CUDA C. Опыт отладки многопоточных программ. Знание основ реляционных БД. Системы контроля версий Git, TFS Я постоянно совершенствуюсь и расширяю свой кругозор в области информационных технологий. Мне интересны решение сложных не стандартных задач, люблю применять мозг на работе. Считаю, что важно писать чистый, аккуратный, отлаженный код.","Московский государственный университет приборостроения и информатики, Москва Факультет информатики , 230105.65 «Программное обеспечение вычислительной техники и автоматизированных систем»; ФСПО МГУПИ Вычислительные машины, комплексы, системы и сети , техник","Русский — Родной, Английский — A1 — Начальный",https://hh.ru/resume/bc000b5d00009e1e3b0039ed1f736563726574
Кандидат,Программист С#,Не указано,"Мужчина, 33 года","Пермь , готов к переезду , готов к редким командировкам",Не указано,Опыт работы 11 лет,Руководитель IT-отдела в Агентство ЮВС,"- Поддержка и развитие IT-инфраструктуры компании, обеспечение бесперебойной работы сервисов. - Встречи с заказчиками, выявление потребностей, обсуждение вариантов сотрудничества. - Интеграция новых систем и сервисов для оптимизации существующих IT-решений. - Автоматизация рутинных бизнес-процессов с целью повышения эффективности. - Поддержка и рефакторинг легаси-кода, доработка существующего программного обеспечения на C#. - Разработка и сопровождение Web API (REST), внедрение новых инструментов (ClosedXML, ASP.NET Identity). - Работа с базами данных (PostgreSQL), оптимизация запросов. - Проведение code review, оптимизация и улучшение качества кода. - Сопровождение серверной инфраструктуры (Proxmox, Hyper-V, Windows Server 2016-2019, GPO).","Настройка сетевых подключений, Настройка ПК, Настройка ПО, Ведение переговоров, Грамотная речь, Администрирование сетевого оборудования, Windows 10, Диагностика ПК, Bootstrap, Создание сайтов, HTML5, C#, MS Visual Studio, Git, Directum, ASP.NET MVC, Entity Framework, Администрирование, LAN, Работа в команде, Windows 8, CSS3, jQuery, C, JavaScript, Postman, Docker, Linux, ASP.NET Core, PHP, Русский — Родной, Английский — B1 — Средний","IT-специалист с 11-летним опытом в разных сферах, в основном занимаюсь поддержкой и развитием существующих решений на C# и .NET. Основная экспертиза — рефакторинг и оптимизация легаси-кода, автоматизация бизнес-процессов, внедрение новых инструментов и интеграция систем с текущей ERP. Регулярно провожу code review, работаю с Web API, закрываю задачи по сопровождению и доработке IT-инфраструктуры (Proxmox, Hyper-V, Windows Server 2016-2019, GPO). Работаю как самостоятельно, так и в команде, открыт к новым технологиям, постоянно учусь и не боюсь рутинных задач. Интересен опыт в команде, обмен опытом и развитие технических навыков.","Школа 21 от Сбербанка Экспериментальное методика обучению программированию; профессиональный лицей №1 электромонтер по ремонту и обслуживанию электрооборудования , Электромонтер; Directum Directum , Основы работы в Directum RX; Directum Directum , Настройка Directum RX; Directum Directum , Прикладная разработка в Directum RX; Directum Directum , Сертификация по C# для допуска к курсам","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/14c9d3fb0002c84cbe0039ed1f55457657646c
Кандидат,Программист / разработчик C#,160 000 ₽ на руки,"Мужчина, 50 лет","Вязьма , не готов к переезду , готов к командировкам",Не указано,Опыт работы 27 лет 6 месяцев,Ведущий аудитор (IT специалист в управлении внутреннего аудита) в Сбер,"Ведущий аудитор, основные обязанности: - Участие в продуктовых проектах (ИТ специалист, Data Scientist, Data Engineer); - участие в инфраструктурных проектах (разработчик, Data Scientist, Data Engineer); - Проектирование, разработка, внедрение и сопровождение портала Управления внутреннего аудита Среднерусского банка (ASP.NET MVC, ASP.NET Core, Web API, EF 5, EF Core, MS SQL, jQuery, React). Является основным направлением деятельности в течение последних пяти лет; - Разработка расширений Jira (java); - Разработка пакетов SSIS для задач ETL (объем обрабатываемых данных порядка нескольких терабайт); - Разработка Python скриптов для задач ETL; - Участие во внутренних конкурсах DS; - Участие в хакатонах; - Участие во внешних конкурсах. Имеются поощрения от руководства.","1С: Предприятие 8, MS SQL Server, Администрирование серверов Linux, HTML, Transact-SQL, MySQL, Python, Data Science, CSS, ASP.NET MVC, C#, JavaScript, Java, PostgreSQL, Data Engineering, PHP, Русский — Родной, Английский — B2 — Средне-продвинутый","Личные качества: ответственность, организованность, целеустремленность, трудолюбие, усидчивость. Хобби: пауэрлифтинг","Московский энергетический институт (Национальный исследовательский университет), Москва АЭТФ , Управление и информатика в технических системах; Delphi: базы данных клиент-серверные приложения СЗФ АО ""ГВЦ ЭНЕРГЕТИКИ"" , программирование; 1С:Специалист УЦ №1 , Разработка и модификация прикладных решений на технологической платформе системы программ ""1С:Предприятие 8.3""; TS: Microsoft .NET Framework - Application Development Foundation Интерфейс Ltd. , Application Development Foundation","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/fa4533010002e071d70039ed1f73785874385a
Кандидат,Программист .NET (C#),Не указано,"Мужчина, 43 года","Санкт-Петербург , не готов к переезду , не готов к командировкам",Не указано,Опыт работы 20 лет 8 месяцев,"Ведущий разработчик С++/C# тех. руководитель архитектор решений на платформе .NET в ЗАО ""Рамакс Интернейшнл""","Участие в проекте по разработке Автоматизированной Подсистемы Государственной Кадастровой Оценки Недвижимости (АП ГКООН) Платформы и технологии, используемые при реализации: .NET 3.5 (Windows Services, Enterprise Services, Remoting), ASP.NET 3.5 (WebForms, MSAJAX, Web Services), Enterprise Library 3.1 + WCSF, ADO.NET, NHibernate 1.2, Enterprise Library 3.1 DAAB Oracle 10g, PL/SQL, OpenXML Роли и обязанности в проекте: 2008-2009 Ведущий разработчик С++/C#, тех. руководитель, архитектор решений на платформе .NET Обязанности: Разработка архитектуры системы, определение плана рефакторинга, координация действий рабочей группы, разработка подсистем и интеграция решений 2007-2008 Старший .NET разработчик С++/C# Обязанности: Детализация требований, Участие в обсуждении архитектуры системы, Реализация подсистем в рамках оговоренной архитектуры 2006 - 2007 Разработчик .NET С++/C# Обязанности: Участие в обсуждении архитектуры системы, реализация модулей подсистем и модульных тестов --------------------------------------- --------------------------------------- Участие в проекте Информатизация архивов БТИ (ИБТИ) Платформы и технологии, используемые при реализации: .NET 3.5 (WinForms) Enterprise Library 4.1 + Unity ADO.NET, NHibernate 2.0, Enterprise Library 4.1 DAAB MS Access, MSSQL 2005, T-SQL OpenXML, Wix Роли и обязанности в проекте: 2008-2009 Ведущий .NET разработчик С++/C# Обязанности: Разработка архитектуры, разработка подсистем, координация действий команды разработчиков 2007-2008 Старший .NET разработчик С++/C# Обязанности: Разработка подсистем, участие в обсуждении архитектуры","Английский — A1 — Начальный, Русский — B2 — Средне-продвинутый","- Анализ требований - Объектно-Ориентированный анализ и проектирование (OOA/OOD) - Владение шаблонами проектирования и шаблонами построения корпоративных приложений - Разработка в рамках методологий XP, Scrum - Разработка посредством тестирования (TDD) - Использование средств разработки Microsoft Visual Studio 7.1-9.0, Borland C++ Builder 5.0-6.0 - Использование систем котроля версий VSS, SVN - Уверенное владение языками программирования C++/C# 1.1-3.5 - Владение скриптовыми языками программирования Javascript 1.5, VBScript, Windows Powershell 1.0 - Разработка многоуровневых приложений на платформе .NET c использованием Microsoft Entrprise Library 3.1-4.1, NHibernate - Разработка веб приложений на платформе .NET c использованием ASP.NET 1.1-3.5, MSAJAX, XML Web Services - Разработка десктоп приложений на платформе .NET c использованием Windows Forms - Владение SQL, T-SQL - MSSQL 2005, PL/SQL - Oracle 10g",СПбГТИ(ТУ) Санкт-Петербургский Государственный Технологический Институт (Технический Университет) Информатики и управления/САПРиУ/Разработка информационнного и программного обеспечения автоматизированных систем,"Английский — A1 — Начальный, Русский — B2 — Средне-продвинутый",https://hh.ru/resume/f10564a90004e4d75e0039ed1f416564414255
Кандидат,Разработчик,80 000 ₽ на руки,"Мужчина, 22 года","Санкт-Петербург , готов к переезду , готов к командировкам",Не указано,Опыт работы 1 год 4 месяца,"Web-разработчик в ООО ""Студия 54""","Разработка веб-приложений FiftyFourms и Studia54, совершенствование и поддержка IT инфраструктуры компании Стек: React, Next.js, Strapi, PostgreSQL Проект FiftyFourms – интернет-магазин премиального бренда мебели. Включает в себя лэндинги, каталог товаров, страницы с подробным описанием самих товаров, блог для дизайнеров, формы для осуществления покупок и обратной связи. Реализованы фильтры, сортировки и поиск по товарам, разработаны посадочные страницы для SEO-оптимизации, также были подключены яндекс- и google-метрики для сбора статистики посещений сайта. В качестве бэкенд части используется – Strapi – фреймворк для создания CMS и API для управления контентом сайта. Разработаны версии для нескольких языков, проект адаптирован для мобильных и десктоп устройств. Проект Studia54 – корпоративный сайт компании с портфолио из более чем 500 дизайн-проектов, множественными лэндингами и формами обратной связи. Реализованы фильтрация, поиск, локализация на несколько языков, адаптация под любые устройства, а также SEO-оптимизация. Бэкенд построен на Strapi, фронтенд – на Next.js и Svelte. Занимался добавлением новой функциональности для существующих приложений, рефакторингом, оптимизацией, разработкой новых лэндингов и реструктуризацией устаревших частей проектов. В процессе реализации удалось глубоко погрузиться в следующиее технологии и библиотеки: next, next-i18next, react, react-router, react-hook-form, swiper, ua-parser-js, js-cookie, strapi, posgresql и др. Системное администрирование: • занимался поддержкой физических и виртуальных серверов компании • администрировал Active Directory, Bitrix24, 1С, СКУД, базу знаний – Confluence, корпоративные почтовые аккаунты • ремонтировал устаревшее оборудование и регламентировал закупку новой техники • поддерживал работоспособность локальной сети компании на 100+ сотрудников","HTML5, CSS, SCSS, JavaScript, ES6, Webpack, ReactJS, Redux, Git, MongoDB, MS SQL Server, phpMyAdmin, TypeScript, HTML, Bootstrap, Less, MySQL, Node.js, REST, REST API, React, ООП, SQL, Figma, Wordpress, C#, ASP.NET, Cisco Packet Tracer, Linux, Docker, Русский — Родной, Английский — B1 — Средний, Испанский — B1 — Средний","Ссылка на GitHub: https://github.com/portableclass С отличием окончил Политехнический колледж по специальности “Информационные системы и программирование”. Мое решение выбрать именно эту область не было случайным, а основано на моих интересах и страсти к технологиям. Поэтому сейчас я активно занимаюсь изучением инструментов web-разработки, а также средств поддержки, оптимизации, тестирования и документирования web-приложений. Планирую и дальше углубляться в этом направлении. Ключевые навыки: Frontend: JavaScript (ES6), TypeScript, React, Redux (Redux Toolkit, RTK Query). - Верстка: HTML, CSS, SCSS, SASS. - Библиотеки: axios, reduxjs/toolkit/query, react-router, react-table, react-toastify, react-dropzone, react-loading-skeleton, react-select, eslint, zod, yup, formik, react-hook-form, websocket. - Сборщики: webpack, vite. Backend: - Уверенное владение: NodeJS, C# - Средний уровень: C++ - Базовый уровень: Java (Android Studio), PHP Базы данных: - Уверенное владение: SQL Server (MS SQL Management Studio), MongoDB (MongoDB Atlas) - Средний уровень: MySQL (phpMyAdmin) - Базовый уровень: PostgreSQL (pgAdmin) Операционные системы и среды: Windows, Linux (Mint, Ubuntu), MacOS. Системы контроля версий: GitHub. Среды разработки: Visual Studio (2019, 2022), Visual Studio Code, Android Studio, CLion, WebStorm, Sublime Text, Rider. Отношение к воинской обязанности: Военнообязанный. Проходил военную службу по призыву с июля 2023г. по июль 2024г. в городе Санкт-Петербург. Занимал должность механика отдела образовательных и информационных технологий. Уволен в запас в звании ефрейтора.","ФГАОУ ВО «Санкт-Петербургский политехнический университет Петра Великого» ИКНК , Программная инженерия; ФГАОУ ВО ""СПбПУ"" ИСПО (Политехнический колледж) ОИТ , Информационные технологии и программирование, СПО; Производственная практика ООО «ЭРИ»; Производственная практика EPAM","Русский — Родной, Английский — B1 — Средний, Испанский — B1 — Средний",https://hh.ru/resume/c87ffda800090ba4340039ed1f5644786c5271
Кандидат,Программист C++ / Программист C#,Не указано,"Женщина, Не указано","Москва , не готова к переезду , готова к командировкам",Не указано,Опыт работы 4 года 8 месяцев,Junior Developer в Лаборатория Касперского,Разработчик С++/. NET,"Английский язык, Работоспособность, C++, Unreal Engine, STL, ООП, Git, SQL, Unity, CI/CD, Docker, C#, Русский — Родной, Английский — C1 — Продвинутый",Github: https://github.com/AndreZQuix • C++ 17 / STL; • C#; • Unity; • Unreal Engine 4. Git • ООП • Алгоритмы & Структуры данных • SQL,"Московский политехнический университет, Москва Факультет Информационных технологий , Программное обеспечение игровой компьютерной индустрии","Русский — Родной, Английский — C1 — Продвинутый",https://hh.ru/resume/72115b050008e63fa90039ed1f6c6a526f3439
Кандидат,Программист С#,Не указано,"Мужчина, 39 лет","Красноярск , не готов к переезду , готов к командировкам",Не указано,Опыт работы 15 лет 3 месяца,Программист в Spargo Technologies,Разработка и поддержка ПО,"MS Visual Studio, Работа с базами данных, .NET Framework, MySQL, ADO.NET, LINQ, C#, Git, RabbitMQ, MongoDB, Entity Framework, Windows Forms, WPF, MVVM, Vkontakte Api, ASP.NET, Unit Testing, API, MS SQL, Design Patterns, TDD, TeamCity, Scrum, MVVM Light, React, Русский — Родной, Английский — B1 — Средний",Хобби: - фотография; - астрономия; - качать железо;,"Сибирский федеральный университет, Красноярск Институт космических и информационных технологий","Русский — Родной, Английский — B1 — Средний",https://hh.ru/resume/8f10b6fc00022e611f0039ed1f504b55357532
Кандидат,Программист C#,90 000 ₽ на руки,"Мужчина, 35 лет","Хабаровск , готов к переезду , готов к командировкам",Не указано,Опыт работы 12 лет 8 месяцев,Ведущий инженер в ПАО Сбербанк,2 линия сопровождения АС,"Oracle Siebel CRM, Pascal, Асинхронное программирование, C#, ASP.NET, Весь список в linkedin, Русский — Родной, Английский — B2 — Средне-продвинутый",Не указано,"Дальневосточный государственный гуманитарный университет, Хабаровск Факультет естественных наук, математики и информационных технологий , Специализация: «Организация информатизации образования»/ Специальность «Информатика»","Русский — Родной, Английский — B2 — Средне-продвинутый",https://hh.ru/resume/49bb1461000294252b0039ed1f484d32493738
Кандидат,Разработчик .Net / C# - Системный проектировщик,Не указано,"Мужчина, 41 год","Санкт-Петербург , не готов к переезду , готов к редким командировкам",Не указано,Опыт работы 21 год 6 месяцев,"Ведущий разработчик .net / Проектировщик в Альфа-Банк, Selecty, ИнвестЛаб","Работа над высоконагруженной системой в команде из 25-35 человек (только разработчиков). Система - биржевые брокеры с миллионами пользователей . Стек технологий: .Net 4.5-8.0, Rest API, Jobs, ETL, Kafka, MQ, MinIO, MS SQL, ELK, Grafana, Vault, Kubernetes, IIS, swagger, postman, gitlab Основные обязанности - экспертиза тех. заданий на разработку и непосредственная разработка микро сервисов под .net core, и ревью кода других разработчиков. Реализованы десятки различных сервисов, сопроводимые юнит тестами. Перечислю существенные работы:, 1) Мной спроектирован и реализована компонент для работы с ETL . 2) Спроектирована система сбора метрик. 3) Добавлена документация по работе с Kafka.",".NET Framework, C#, ООП, Windows Forms, Visual Studio C#, Delphi, REST, .NET Core, С#, Web API, LINQ, Software Development, FirebirdSQL, MS SQL, Git, SVN, GIS, ASP.NET, WPF, ГИС, SQL, Entity Framework, ORM, ASP.NET MVC, TCP/IP, HTML, CSS, PostgreSQL, Управление проектами, Jenkins, Русский — Родной","от проектирования до документирования. Ищу должность разработчика и\или проектировщика системы, также могу руководить командой из 2-5 человек, есть опыт несколько лет. Возможна частичная занятость. Рассматриваю только удаленную работу (возможны командировки). Готов работать через ИП Языки программирования C#, .net 2.0-8.0 и net core от 2.0 - более 10 лет: Web API, minimal API with ASP.NET, Blazor, MAUI, WinForms, WPF, OrmLite, Entity Framework, NUnit, NUnit, Moq, LightInject, NLog, Cudafy.net(Gpu), MultiThread и мн др.) Delphi 6-2007, XE более 6 лет Java, С++, CBuilder (Cuda, Flex) Менее года Прочее GitLab, Gitflic, Git, CVS, VCS, SourceGear 6 лет UML, Rational Rose, MS Visio 2 года JIRA, TestTrack – системы контроля задач 5 лет Проектная работа: Kanban, Agile, Scrum, XP Базы данных MS SQL 5 года Fire Bird Server + Embdeded (2.1, 2.5) 5 лет MongoDB 2 года Influx, SQLite, POSTGRESS, MySQL, ACE, ORACLE менее 1 года","НГУ Механико-математический; C#: основы Интуит , C#: основы",Русский — Родной,https://hh.ru/resume/aab8c88b00020890460039ed1f416876305a72
